	;	Shine NPC table(ShineNPC.txt)																										
;	#recordin	ShineNPC	Gate_Town	RouN	5874	6530	0	1	QuestNpc	Quest																		
;	루멘 2층에 사는 투명인간들																											
;	#recordin	ShineNPC	InvisibleMan	Rou	3507	6973	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	4269	6423	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	5064	6214	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	5799	6223	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	6686	6338	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8528	5795	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8027	6030	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	7564	6336	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	7480	6563	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	6606	6365	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	6048	6251	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	5670	5976	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	5515	6446	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	4616	6291	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	4130	6409	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	3997	6768	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	3673	6448	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	6413	6757	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8124	5670	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	4066	5951	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	5624	5648	0	0	QuestNpc	-																		
;	루멘 1층에 사는 투명인간																											
;	#recordin	ShineNPC	InvisibleMan	Rou	8743	1345	0	0	QuestNpc	-																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8664	5268	-116	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8115	5105	-116	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	InvisibleMan	Rou	7696	4746	-116	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	InvisibleMan	Rou	7328	4377	-116	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8126	4345	-116	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	InvisibleMan	Rou	8463	3960	-116	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	InvisibleMan	Rou	7283	4767	-116	1	QuestNpc	Quest																		
;	루맨 헤어샵 npc																											
	#recordin	ShineNPC	Vietree	RouN	5158	6766	-64	1	QuestNpc	Quest																		
;	루맨 길드 npc																											
	#recordin	ShineNPC	RouGuildBrom	RouN	6713	5495	-153	0	NPCMenu	Guild																		
;	안내 표지판 																											
	#recordin	ShineNPC	PostCos01	RouN	6088	5237	-178	1	QuestNpc	Quest																		
	#recordin	ShineNPC	PostCos02	RouN	6599	10461	15	1	QuestNpc	Quest																		
	#recordin	ShineNPC	PostCos03	RouN	7329	5357	-178	1	QuestNpc	Quest																		
	#recordin	ShineNPC	PostRoumenus	RouN	6318	8648	-89	1	QuestNpc	Quest																		
	#recordin	ShineNPC	PostRemi	RouN	6963	7149	0	1	QuestNpc	Quest																		
;	초보자 사냥터 안내 표지판																											
	#recordin	ShineNPC	PostBeg01	Rou	7928	4561	137	0	QuestNpc	Quest																		
	#recordin	ShineNPC	PostBeg01	Rou	5657	6516	0	0	QuestNpc	Quest																		
;	크리스마스 트리																											
;	#recordin	ShineNPC	ChristmasTree	Rou	5664	4510	0	0	QuestNpc	Quest																		
;	엘더린 npc																											
	#recordin	ShineNPC	EldSmithKarls	Eld	16734	14837	0	1	Merchant	Weapon																		
	#recordin	ShineNPC	EldWeaponTitleMctBran	Eld	15613	15123	39	1	Merchant	WeaponTitle																		
	#recordin	ShineNPC	EldSoulMctAvon	Eld	16175	14938	0	1	Merchant	SoulStone																		
	#recordin	ShineNPC	EldStoreKyle	Eld	14357	12086	-171	1	StoreManager	-																		
	#recordin	ShineNPC	EldItemMctNina	Eld	17382	12362	173	1	Merchant	Item																		
;	엘더린 가구상인 NPC																											
	#recordin	ShineNPC	EldFurnitureForestTall	Eld	14331	14780	56	1	Merchant	Item																		
;	엘더린 창고지기 주변 투명 NPC																											
	#recordin	ShineNPC	InvisibleMan	Eld	14504	12447	-116	1	QuestNpc	Quest																		
	#recordin	ShineNPC	InvisibleMan	Eld	14179	12439	-116	1	QuestNpc	Quest																		
;	엘더린 마을이동 NPC																											
;	#recordin	ShineNPC	Gate_Town	Eld	11788	10395	-164	1	QuestNpc	Quest																		
;	엘더린 스킬 npc 위치 임시적용																											
	#recordin	ShineNPC	EldWarSkillMarty	Eld	12893	12729	-143	1	Merchant	Skill																		
	#recordin	ShineNPC	EldPalSkillKeest	Eld	13529	12692	135	1	Merchant	Skill																		
	#recordin	ShineNPC	EldScoSkillDeikid	Eld	13520	14180	46	1	Merchant	Skill																		
	#recordin	ShineNPC	EldWizSkillWishis	Eld	12934	14189	-46	1	Merchant	Skill																		
;	엘더린 스킬 npc 위치 																											
;	#recordin	ShineNPC	EldWarSkillMarty	Eld	16901	10406	-88	1	Merchant	Skill																		
;	#recordin	ShineNPC	EldPalSkillKeest	Eld	10746	16068	-90	1	Merchant	Skill																		
;	#recordin	ShineNPC	EldScoSkillDeikid	Eld	10634	10040	-153	1	Merchant	Skill																		
;	#recordin	ShineNPC	EldWizSkillWishis	Eld	15119	15694	0	1	Merchant	Skill																		
	#recordin	ShineNPC	EldGuardCaptainShutian	Eld	13571	13412	-91	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldGuardNus	Eld	17973	10584	-10	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldKidWorze	Eld	16445	13378	89	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldMrsMisen	Eld	16629	12068	147	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	EldFurnitureMctBiette	Eld	16970	15825	0	1	Merchant	Quest																		
;	#recordin	ShineNPC	EldGuild	Eld	13865	10181	0	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	EldGaianBjurin	Eld	10310	11169	-96	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldCastleLordElderiss	Eld	10659	16064	-91	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldItemMctKenton	Eld	14630	14613	-14	1	Merchant	Item																		
;	#recordin	ShineNPC	EldDiggerRoyquin	Eld	12916	10930	-175	1	Gatenpc	Gate																		
;	#recordin	ShineNPC	Rachel	Eld	16562	13436	89	1	JobMaster	Job																		
;	#recordin	ShineNPC	EldItemMctNina	Eld					JobMaster	Job																		
;	엘더린 길드 npc																											
	#recordin	ShineNPC	EldGuildPredrick	Eld	10266	13436	-92	0	NPCMenu	Guild																		
;	엘더린 조커 관련 npc 																											
	#recordin	ShineNPC	Joker	Eld	13453	13445	-68	1	Merchant	Skill																		
	#recordin	ShineNPC	Edge	Eld	13453	13353	-68	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Ring	Eld	13453	13539	-68	1	QuestNpc	Quest																		
;	탐욕의 해안 포털 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Eld	16709	9195	175	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	16499	9195	175	0	Guard	Quest																		
;	붕괴된 감옥 터 포털 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Eld	13321	9110	-179	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	13113	9110	-179	0	Guard	Quest																		
;	달빛묘지 포털 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Eld	13652	16755	0	0	Guard	Quest																		
	#recordin	ShineNPC	EldArcGuard02	Eld	13442	16755	0	0	Guard	Quest																		
;	메마른 안개숲 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Eld	18476	13589	90	0	Guard	Quest																		
	#recordin	ShineNPC	EldArcGuard02	Eld	18476	13210	90	0	Guard	Quest																		
;	건물 입구 근위병 																											
	#recordin	ShineNPC	EldSpeGuard02	Eld	11008	13147	-124	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	11147	12944	-124	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard01	Eld	11008	13685	-48	1	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	11147	13877	-48	0	Guard	Quest																		
;	건물 입구 아처 																											
	#recordin	ShineNPC	EldArcGuard01	Eld	10505	13608	-90	1	Guard	Quest																		
	#recordin	ShineNPC	EldArcGuard02	Eld	10505	13234	-90	0	Guard	Quest																		
;	움직이는 풍선앞 아처																											
	#recordin	ShineNPC	EldArcGuard02	Eld	17595	13693	83	0	Guard	Quest																		
	#recordin	ShineNPC	EldArcGuard02	Eld	17595	13133	86	0	Guard	Quest																		
;	경기장 경비병																											
;	#recordin	ShineNPC	EldArcGuard02	Eld	15665	10311	-92	0	Guard	Quest																		
;	#recordin	ShineNPC	EldArcGuard02	Eld	16448	10319	94	0	Guard	Quest																		
;	경기장 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Eld	16188	11829	178	0	Guard	Quest																		
;	#recordin	ShineNPC	EldSpeGuard02	Eld	15935	11833	177	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	16194	10772	0	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	15925	10764	0	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	15844	9787	-179	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Eld	16268	9787	-179	0	Guard	Quest																		
;	동영상 촬영용 npc																											
;	승급 npc																											
	#recordin	ShineNPC	GrandMasterShone	RouVal01	12842	6467	134	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	EldCastleLordElderiss	RouVal01	11842	6467	134	1	Merchant	SoulStone																		
;	크리스마스 트리																											
;	#recordin	ShineNPC	ChristmasTree	Eld	16208	13247	-61	0	QuestNpc	Quest																		
;	결혼 진행 엔피씨																											
	#recordin	ShineNPC	WeddingDreian	Eld	10901	14942	-111	1	Merchant	Item																		
;	우르가 npc																											
	#recordin	ShineNPC	UruSmithHans	Urg	6837	7418	54	1	Merchant	Weapon																		
	#recordin	ShineNPC	UruItemMctVellon	Urg	6337	5022	0	1	Merchant	Item																		
	#recordin	ShineNPC	UruTownChiefAdrien	Urg	7966	6638	76	1	QuestNpc	Quest																		
	#recordin	ShineNPC	UruSoulPooring	Urg	5603	5399	0	1	Merchant	SoulStone																		
	#recordin	ShineNPC	UruGuildLump	Urg	5496	7526	-45	0	NPCMenu	Guild																		
	#recordin	ShineNPC	UruFurnitureForestTeem	Urg	5897	5189	0	1	Merchant	Item																		
	#recordin	ShineNPC	UruStoreCurly	Urg	6778	5067	-9	1	StoreManager	-																		
	#recordin	ShineNPC	UruSkillChyburn	Urg	7909	8083	44	1	Merchant	Skill																		
	#recordin	ShineNPC	Q_Kassandra	Urg	11232	6519	122	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Keroll	Urg	11157	6625	118	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Lino	Urg	11123	6733	0	1	QuestNpc	Quest																		
;	비행선 왼쪽 경비병																											
;	#recordin	ShineNPC	EldSpeGuard02	Urg	7968	4901	-23	0	Guard	Quest																		
;	#recordin	ShineNPC	EldSpeGuard02	Urg	7774	4790	-29	0	Guard	Quest																		
;	비행선 오른쪽 경비병																											
;	#recordin	ShineNPC	EldSpeGuard02	Urg	5126	5209	50	0	Guard	Quest																		
;	#recordin	ShineNPC	EldSpeGuard02	Urg	5002	5350	38	0	Guard	Quest																		
;	우루가 뒤쪽길 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Urg	4898	7634	136	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Urg	4687	7451	136	0	Guard	Quest																		
;	킹퀘 npc 쪽 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Urg	7308	6371	79	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Urg	7247	6651	81	0	Guard	Quest																		
;	킹퀘 npc 쪽 경비병																											
	#recordin	ShineNPC	EldSpeGuard02	Urg	5537	6178	-98	0	Guard	Quest																		
	#recordin	ShineNPC	EldSpeGuard02	Urg	5501	6414	-95	0	Guard	Quest																		
;	크리스마스 트리																											
;	#recordin	ShineNPC	ChristmasTree	Urg	7757	6776	0	0	QuestNpc	Quest																		
;	모래바람 캠프 npc																											
	#recordin	ShineNPC	HednisSkillGrunt	EldGbl02	9837	8621	131	1	Merchant	Skill																		
	#recordin	ShineNPC	HednisSmithRohan	EldGbl02	9491	8688	113	1	Merchant	Weapon																		
	#recordin	ShineNPC	HednisSoulKeroll	EldGbl02	9608	8179	54	1	Merchant	SoulStone																		
	#recordin	ShineNPC	HednisStoreDrein	EldGbl02	9472	8355	64	1	StoreManager	-																		
;	모래바람 언덕 마을이동 NPC																											
;	#recordin	ShineNPC	Gate_Town	EldGbl02	9039	9312	-26	1	QuestNpc	Quest																		
;	모래바람 캠프 경비병																											
	#recordin	ShineNPC	HednisArcGuard01	EldGbl02	8727	9989	147	0	Guard	Quest																		
	#recordin	ShineNPC	HednisFigGuard01	EldGbl02	8404	9761	141	0	Guard	Quest																		
	#recordin	ShineNPC	HednisArcGuard01	EldGbl02	10140	6903	0	0	Guard	Quest																		
	#recordin	ShineNPC	HednisFigGuard01	EldGbl02	10409	6947	0	0	Guard	Quest																		
;	모래바람 캠프 사절단																											
	#recordin	ShineNPC	HednisMageWoman	EldGbl02	10219	8891	0	1	QuestNpc	Quest																		
	#recordin	ShineNPC	HednisClericMan	EldGbl02	10226	8830	157	1	QuestNpc	Quest																		
;	불타는 돌 이동 상단																											
	#recordin	ShineNPC	MctMasterMaxUtter	UrgFire01	23408	2215	101	1	Guard	Quest																		
	#recordin	ShineNPC	ItemMctJelluin	UrgFire01	23558	2454	114	1	Merchant	Item																		
	#recordin	ShineNPC	StoneMctTomson	UrgFire01	23630	2625	109	1	Merchant	SoulStone																		
;	#recordin	ShineNPC	mercenary01	UrgFire01	23260	2190	132	0	Guard	Quest																		
;	#recordin	ShineNPC	mercenary02	UrgFire01	23225	2169	155	0	Guard	Quest																		
;	불타는 돌 창고지기																											
	#recordin	ShineNPC	EldStoreFranz	UrgFire01	23205	2022	155	1	StoreManager	-																		
;	불타는 돌 빛의 기둥																											
	#recordin	ShineNPC	PillarofLight	UrgFire01	2602	12731	0	1	Guard	Quest																		
;	여명의 늪 필드 npc																											
	#recordin	ShineNPC	DustAdventurer04	UrgSwa01	19887	15437	76	1	Guard	Quest																		
	#recordin	ShineNPC	SecretaryCleo	UrgSwa01	10986	4052	0	1	Guard	Quest																		
	#recordin	ShineNPC	DustAdventurer03	UrgSwa01	20536	12766	140	1	Guard	Quest																		
	#recordin	ShineNPC	PriestMediang	UrgSwa01	20091	21870	0	1	Guard	Quest																		
	#recordin	ShineNPC	UrgSwaItemMct	UrgSwa01	19296	7406	100	1	Merchant	Item																		
	#recordin	ShineNPC	SoulMctChloe	UrgSwa01	17362	4183	38	1	Merchant	SoulStone																		
	#recordin	ShineNPC	Pie	UrgSwa01	5151	4195	-79	1	QuestNpc	Quest																		
;	고블린 캠프 npc																											
	#recordin	ShineNPC	VegetarianGoblin	EldGbl01	6918	3076	0	1	Guard	Quest																		
	#recordin	ShineNPC	SpyGoblin	EldGbl01	8117	1347	0	1	Guard	Quest																		
;	단두대 형장 npc																											
	#recordin	ShineNPC	PatrolGuardianPolmon	EldPri02	2868	6142	49	1	Guard	Quest																		
;	올버스톨 폐허 npc																											
	#recordin	ShineNPC	AlruinChiefKiera	Urg_Alruin	6810	10138	71	1	QuestNpc	Quest																		
	#recordin	ShineNPC	AlruinSmithMacurdos	Urg_Alruin	6593	7599	-175	1	Merchant	Weapon																		
	#recordin	ShineNPC	AlruinStoreRel	Urg_Alruin	5655	11620	-31	1	StoreManager	-																		
	#recordin	ShineNPC	AlruinSoulRunadilla	Urg_Alruin	7009	10967	145	1	Merchant	SoulStone																		
	#recordin	ShineNPC	AlruinItemMctGeric	Urg_Alruin	8160	9248	118	1	Merchant	Item																		
	#recordin	ShineNPC	AlruinSkillPaela	Urg_Alruin	8847	12731	23	1	Merchant	Skill																		
	#recordin	ShineNPC	AlruinTeiler	Urg_Alruin	6149	10470	98	1	QuestNpc	Quest																		
	#recordin	ShineNPC	AlruinRick	Urg_Alruin	8330	10790	4	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Alruin_EarthStone	Urg_Alruin	10330	5820	147	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Alruin_FireStone	Urg_Alruin	4621	15332	-35	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Alruin_TreeStone	Urg_Alruin	10890	10364	114	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Alruin_WaterStone	Urg_Alruin	5158	5764	-28	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Alruin_WindStone	Urg_Alruin	9197	15114	35	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Hugues	UrgSwa01	19202	6819	100	1	Guard	Quest																		
	#recordin	ShineNPC	Q_Como	UrgSwa01	19067	7189	100	1	Guard	Quest																		
	#recordin	ShineNPC	Q_Tiara	UrgSwa01	19077	7326	100	1	Guard	Quest																		
	#recordin	ShineNPC	UruGuildGump	Urg_Alruin	7388	8356	160	0	NPCMenu	Guild																		
;	베라 npc																											
	#recordin	ShineNPC	BeraChiefValiere	Bera	2218	4606	-87	1	QuestNpc	Quest																		
	#recordin	ShineNPC	BeraMargentia	Bera	6455	6215	0	1	QuestNpc	Quest																		
	#recordin	ShineNPC	BeraEtty	Bera	6699	6223	0	1	QuestNpc	Quest																		
	#recordin	ShineNPC	BeraDuskin	Bera	12231	10925	0	1	QuestNpc	Quest																		
	#recordin	ShineNPC	BeraAmelie	Bera	4928	3615	-77	1	QuestNpc	Quest																		
	#recordin	ShineNPC	BeraItemMilly	Bera	5209	2109	-114	1	Merchant	Item																		
	#recordin	ShineNPC	BeraItemEdmong	Bera	6964	3371	3	1	Merchant	Item																		
	#recordin	ShineNPC	BeraSmithMcDilan	Bera	5631	4626	-31	1	Merchant	Weapon																		
	#recordin	ShineNPC	BeraSkillHal	Bera	7911	4138	59	1	Merchant	Skill																		
	#recordin	ShineNPC	BeraStoreShane	Bera	6857	4242	118	1	StoreManager	Quest																		
	#recordin	ShineNPC	BeraSoulOlivia	Bera	7655	1894	168	1	Merchant	SoulStone																		
	#recordin	ShineNPC	BeraVillager	Bera	11391	4612	53	1	QuestNpc	Quest																		
	#recordin	ShineNPC	BeraGuardArcher	Bera	6404	1295	-172	1	Merchant	WeaponTitle																		
;	갬블 하우스 NPC																											
	#recordin	ShineNPC	GB_MasterRoan	GBHouse	1597	1919	-178	1	Merchant	Item																		
	#recordin	ShineNPC	GB_Store	GBHouse	1134	2413	-35	1	StoreManager	-																		
;	#recordin	ShineNPC	GB_CoinStore	GBHouse	2066	2418	32	1	Merchant	Item																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1351	1601	89	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	789	1131	-170	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	789	2074	-9	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1836	1595	-87	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	2408	2078	9	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	2407	1127	174	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1592	1376	0	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	2073	795	97	0	NPCMenu	ExchangeCoin																		
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1129	791	-100	0	NPCMenu	ExchangeCoin																		
;	겜블하우스 딜러 (주사위 & 텍사스 홀덤)																											
	#recordin	ShineNPC	GB_Dealer	GBHouse	1102	1437	-123	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	953	1339	-121	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	793	1391	-17	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	802	1523	73	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	805	1689	104	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	800	1813	-168	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	954	1854	-53	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	1095	1763	-56	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2098	1762	50	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2245	1854	56	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2402	1811	166	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2404	1681	-104	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2410	1519	-78	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2394	1387	9	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2241	1340	125	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	2106	1435	128	1	QuestNpc	Quest																		
;	"겜블하우스 딜러 (슬롯머신, 슬롯머신 업뎃 후 재배치 해야함)"																											
	#recordin	ShineNPC	GB_Dealer	GBHouse	1783	1048	-120	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	1827	905	-67	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	1724	795	-10	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	1476	796	17	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	1376	904	73	1	QuestNpc	Quest																		
	#recordin	ShineNPC	GB_Dealer	GBHouse	1419	1051	121	1	QuestNpc	Quest																		
;	갬블 하우스 주사위 게임기																											
	#recordin	ShineNPC	GB_Game_Dice01	GBHouse	1154	1471	-123	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice02	GBHouse	1003	1371	-121	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice03	GBHouse	815	1340	-17	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice04	GBHouse	746	1509	76	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice05	GBHouse	749	1703	104	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice06	GBHouse	816	1866	-169	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice07	GBHouse	1000	1818	-54	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice08	GBHouse	1147	1725	-58	1	QuestNpc	GBDice																		
;	갬블 하우스 텍사스 홀덤 게임기 (주사위 게임 임시 배치)																											
	#recordin	ShineNPC	GB_Game_Dice09	GBHouse	2055	1726	52	1	QuestNpc	GBDice																		
