;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	DAMAGED	HeroSlime	50	0	"Ha, can't get me!!"	"Ouch! It hurts, but I am still alive."	Haha--this is far from being over!	"Look at my name, I'm a Slime Hero!"
#RecordIn	DEAD	HeroSlime	50	0	Ouch...	You've received 5000 experience points.	Gather all the Slimes!	It was a good fight while it lasted.
#RecordIn	PIECE	MushRoom	2000000	3600000	The Skills are sold by skill master Ruby in town.	"This the first time we've met.  Nice to meet you, my friend!"	"If you look carefully, I am actually cute!"	I don't like the Slimes...they crush all the mushrooms.
#RecordIn	ATTACK	MushRoom	50	0	Kill me after getting a quest. It will be more rewarding. 	How do you like my one-two punch?	"Here come the punches--one, two!"	"What's one plus one? Wrong, it's three! Hehe."
#RecordIn	DAMAGED	MushRoom	50	0	Go see NPCs with Q mark in the map for new quests.	"Wow, you pack quite a punch."	Hehe... doesn't hurt at all!	"Well, perhaps one plus one is two afterall."
#RecordIn	DEAD	MushRoom	50	0	"At level 3 you can learn new skills, silly! Hehe.."	I should've used the De..dempsi rol...	Fiesta isn't SciFi!	"Bury me in a sunny place, so I can regrow into a Mushroom legend!"
#RecordIn	PIECE	SpeedySlime	1800000	3400000	Wow! There are too many of your kind around here!	I'm Fiesta's mascot! Everyone adores me!	Welcome to the world of Fiesta!	"On behalf of all the monsters in Fiesta, we welcome you!"
#RecordIn	ATTACK	SpeedySlime	50	0	"Come, we will see who is the strongest!"	Alright... I'll go easy on you.	This is my way of welcoming you!	"Tell me about yourself, I'm curious."
#RecordIn	DAMAGED	SpeedySlime	50	0	Ouch! Why did you hit me?!	What! You want to kill me?	This can't be your first time! How else could you be this strong?	Aaaacckk! This is not funny!
#RecordIn	DEAD	SpeedySlime	50	0	Gulp!	Ack!	Aaakkk!	Oh no...I'm dying.
#RecordIn	PIECE	MushRoomFighter	2000000	3600000	I am a born fighter!	"Our family is a great, noble family."	How long have you been in the world of Fiesta?	I'm a Mushroom Fighter... strong and powerful..
#RecordIn	ATTACK	MushRoomFighter	50	0	"That's it? Come on, you're making this easy!"	Can you sense my charisma? Ha! You're already nervous.	Do you know that monsters have different levels?	I can feel my fellow Mushroom's dislike of you.
#RecordIn	DAMAGED	MushRoomFighter	50	0	You look dreadful 	Ugh!  You must come from  a notable clan.	I'm the greatest monster--being evil is second nature!	You are worse than the filthy slimes!
#RecordIn	DEAD	MushRoomFighter	50	0	I ... lost?	Ugh...	Ugh!  You're not from around here...how can you defeat me?	Ack. Shameful!
#RecordIn	PIECE	Imp	2000000	3600000	Hard to run isn't it? Get a mover from store and ride it. 	Let's be friends!	Krrooom!  Krrooom!	Hi! I am an Imp...the fairy of Fiesta.
#RecordIn	ATTACK	Imp	40	0	Go find Zach. He'll tell you about weapon license.	"If you haven't reached level 5, you're gonna be hurting."	"My eyes are my best feature, don't you think?"	What! You think I don't look like a fairy? Why not?
#RecordIn	DAMAGED	Imp	40	0	Press K to enhance skills with skill point every 2 level up.	Ack! Forgive me please!	Did you come here for the quest?	"OK, OK...you're right...I'm too ugly to be a fairy."
#RecordIn	DEAD	Imp	40	0	"With production skill you can make scrolls, potions, stones."	Ack! This quest is killing us.	I don't like quests that require senseless killing of imps!	I want to go home...
#RecordIn	PIECE	FireMushRoom	2000000	3600000	How can you eat mushrooms?  Yuk!	I like being in the shade. I don't like strong sunlight.	Here it is--the sea of sand... or is this the forest of waves?	"You are my sunshine, my only sunshine..."
#RecordIn	ATTACK	FireMushRoom	50	0	I'll teach you to eat mushrooms!! En garde!	Take this!	"If this caught you off guard, you've got some growing to do!"	Giant Mushroom power!
#RecordIn	DAMAGED	FireMushRoom	50	0	Oh no... am I going to get eaten?	This might be the crisis of my life.	Seems like you need more training!	"You know, if you run out of strength, you can use HP stones."
#RecordIn	DEAD	FireMushRoom	50	0	I knew this day would come...	It is hard for me to admit that this is my end.	Whoa... whoa! Oh no!	"They should give monsters HP stones, too!"
#RecordIn	PIECE	gangImp	2000000	3600000	I just dare someone to get near me today.	Where is everyone?  Are they all hiding?	You will not live to see another day if you try to attack me!	Why is everyone bothering me lately?
#RecordIn	ATTACK	gangImp	40	0	Do you really think you can take on all of us by yourself?  Ha!	Is your coffin prepared! This is your last chance to say goodbye.	My victory is imminent!	Are you sure you can defeat all of us?
#RecordIn	DAMAGED	gangImp	40	0	"Uh oh, you're pretty good."	Is that all you've got?	Would you like to join my gang? I could use your strength!	Please forgive me!  I'll be a good Imp!
#RecordIn	DEAD	gangImp	40	0	Whoa...unbelievable!  Who are you?	How can this be?	I thought two of us would be enough... we need more recruits!	Well...this imp is dying...
#RecordIn	PIECE	Crab	2200000	3800000	You don't know what you're getting into!	I don't like steamer pots!	Who's using my claws as clothes pin?	"Ugh...if it wasn't for my pincers, I wouldn't be here now..."
#RecordIn	ATTACK	Crab	40	0	Feel my wrath!	You should be careful around me.	You!  Stop there!	"Play rock, paper, pincers with me. If you win, I'll let you go."
#RecordIn	DAMAGED	Crab	40	0	Oh no...	"If you let me go, I'll give you a secret quest, ok?"	Beware! You'll pay for that!	"If you don't try harder, I will cut you in half with my claws."
#RecordIn	DEAD	Crab	40	0	Help me!!	No...	What happened? I had you beaten!	This is a tough loss to accept.
#RecordIn	PIECE	SlowSlime	2200000	3800000	la la la ~	You were born to be loved.	One thing about me: I always take my time...	Don't be fooled by my name! I'm actually pretty quick!
#RecordIn	ATTACK	SlowSlime	50	0	You shouldn't have bothered me...	"By the time you regret something, it's already too late."	"Here, take this!"	"Hahaha!  See, I'm quicker than I look."
#RecordIn	DAMAGED	SlowSlime	50	0	"Stop, stop...it really hurts"	Defense!	"At times like this, I envy the Speedy Slimes' agility."	Get away...shoo...get away from me!
#RecordIn	DEAD	SlowSlime	50	0	So this is how it all ends?	Oh...this isn't what I want...	I want to be a Slime in my next life...	Aaaacckk!
#RecordIn	PIECE	SpeedyHoneying	2200000	3800000	You are the fastest amongst us!	"Faster, higher, stronger..."	Did you know I was once a Bee?	I want to wear fashionable clothes! I'd look so much prettier.
#RecordIn	ATTACK	SpeedyHoneying	30	0	Attack!	Take this!	Think you can handle the sting of a mighty bee?	Hummm...Hummm...Hummm...
#RecordIn	DAMAGED	SpeedyHoneying	30	0	Haha--is that supposed to hurt? I can't even feel it!	You don't have to hit me so hard!	Let me go...ahh help me!	Yikes!  Someone help me!
#RecordIn	DEAD	SpeedyHoneying	30	0	You will hear from me again...	I'll be back!	Next time I'll shoot my stinger at you!	It hurt so much!  I was squealing like a pig...
#RecordIn	PIECE	blueCrab	2200000	3800000	Aaaah... don't you just love that ocean smell?	"Oh, it's so hot. I feel like I'm being boiled alive!"	Do you know why crabs walk sideways?	"I'd prefer you not tell them, but steamed lobster is my favorite."
#RecordIn	ATTACK	blueCrab	40	0	How's that? Does it hurt?!	Get ready... 	La...la...la....ooooff!  I've been discovered!	I will pinch you with my fearsome claws!
#RecordIn	DAMAGED	blueCrab	40	0	Stop! Stop! Ouch!	Stop! You won't gain anything by killing me!	Do you think you can defeat me easily?	Hahaha!  Stop tickling me.  You're making me laugh.
#RecordIn	DEAD	blueCrab	40	0	I don't think you'll want to eat me.	I have heat stroke...	I give up...stop attacking me!	Mark my words--you will be punished one day by my crab friends!
#RecordIn	PIECE	LittleHob	2200000	3800000	I'm pretty cute!	Can I show you my beautiful smile?	-	-
#RecordIn	ATTACK	LittleHob	30	0	-	-	-	-
#RecordIn	DAMAGED	LittleHob	30	0	"Even if I call for help, no one will come..."	-	-	-
#RecordIn	DEAD	LittleHob	30	0	-	-	-	-
#RecordIn	PIECE	Honeying	2200000	3800000	"Hey, what's over there?"	I hope I get to visit someday...	"Me too, me too, me too!"	Smelling the flowers makes me feel stronger.
#RecordIn	ATTACK	Honeying	30	0	Feel the pain!	Bzzz...Bzzz...Bzzz...	Don't count me out just because I'm small!	"Float like a butterfly, sting like a bee... hmm... it's strange."
#RecordIn	DAMAGED	Honeying	30	0	"Wow, impressive!"	How can you harm a cute Honeying like me?  Help!	What? Is this because I had some of the honey?	No! No! No!
#RecordIn	DEAD	Honeying	30	0	I wonder... what's on the other side?	Ouch!	"I ate all the honey, but I won't do it again!"	Don't hate me! An unpopular Honeying is a sad Honeying.
#RecordIn	PIECE	HungryWolf	2400000	4000000	That shepherd boy is a liar.	Where is Little Red Riding Hood hiding?	"Oooh, I'm hungry."	Why am I always so hungry...
#RecordIn	ATTACK	HungryWolf	30	0	Muhahaha.	Thanks for being my next meal!	You think I'm gonna let you give up?	Wow! Food! Eating you will satisfy my hunger.
#RecordIn	DAMAGED	HungryWolf	30	0	This is not joke!	I should've picked on Little Red Riding Hood instead.	My judgment has failed me...	"Hey, if you aren't going to eat me, then don't kill me!"
#RecordIn	DEAD	HungryWolf	30	0	How can this be?	Didn't you read Little Red Riding Hood...this isn't the end...	"I just wanted to eat you, because I was hungry!"	Why didn't you listening to me?
#RecordIn	PIECE	AngryWolf	2400000	4000000	I'm always angry! You better watch it!	I haven't been happy lately. I wonder why?	Don't get me wrong: I'm not angry because I'm hungry!	Why am I always angry?
#RecordIn	ATTACK	AngryWolf	30	0	You!  A challenge? Don't make me laugh!	You seem like a good way to waste some time.	You will make a nice punching bag!	It's because of you. You're the one making me angry!
#RecordIn	DAMAGED	AngryWolf	30	0	I underestimated your strength!	Uh oh...you're going to kick my butt.	Wow! Appearances can be deceiving!	It feels like you're hitting me with a rubber mallet!
#RecordIn	DEAD	AngryWolf	30	0	I have not shown you all my skills...so...	Aaaakkk!!	My skin will be all that's left of me...	Aaarrgghh! Makes me so mad!
#RecordIn	PIECE	Phino	2400000	4000000	"Oh my love, Phinopoly!"	I'm lucky to be in Fiesta since I met Phinoply here.	"Actually, I don't like Phinoply. Now you know my true feelings!"	People think we're getting married...Hmm...should just propose?
#RecordIn	ATTACK	Phino	20	0	Come watch me.	Phinoply and I will come back soon and teach you a lesson!	Phino power! DIE!	I should increase my stamina if I'm to be married.
#RecordIn	DAMAGED	Phino	20	0	Phinopoly!  Help me!	"You're pretty good, but Phinoply is even stronger."	"If I think about my love, Phinoply, I feel no pain."	"Harder please, and faster!"
#RecordIn	DEAD	Phino	20	0	Oh no...Phinopoly!	Ugh...Phinoply...good bye...I will love you forever.	Please leave us in peace!	"But, but... I won't be able to propose!"
#RecordIn	HELPMAIN	Phino	800	800	-	-	-	-
#RecordIn	HELPSUB	Phino	800	800	-	-	-	-
#RecordIn	RACERESCUE	Phino	800	800	-	-	-	-
#RecordIn	PIECE	MiniGreenky	2400000	4000000	"If you know a good way to shed some pounds, let me know!"	-	-	-
#RecordIn	ATTACK	MiniGreenky	30	0	-	-	-	-
#RecordIn	DAMAGED	MiniGreenky	30	0	-	-	-	-
#RecordIn	DEAD	MiniGreenky	30	0	I'm ready to sacrifice myself for you.	-	-	-
#RecordIn	PIECE	PhinoFlie	2600000	4200000	You're so cool!	My makeup looks great today! I should show Phino...	Have you seen Phino?	Is Phino trying to propose? He's so bashful it's hard to tell.
#RecordIn	ATTACK	PhinoFlie	20	0	I see you!	"It hurts, doesn't it?  I'll have to brag to Phino."	Did you bother my friend Phino?	"Phino, I'm ready to be your bride.  How does that sound?"
#RecordIn	DAMAGED	PhinoFlie	20	0	That really hurts! Stop!	I am upset! Boohoo...	Back off!	Hah! I feel no pain.. I'm so happy right now.
#RecordIn	DEAD	PhinoFlie	20	0	Oh no..!  	"Phino, please avenge my death!"	Let us be... let us be together...	This can't be...this can't be happening.
#RecordIn	HELPMAIN	PhinoFlie	800	800	-	-	-	-
#RecordIn	HELPSUB	PhinoFlie	800	800	-	-	-	-
#RecordIn	RACERESCUE	PhinoFlie	800	800	-	-	-	-
#RecordIn	PIECE	Ratman	2600000	4200000	Hmm... what is that smell?	That Boar seems to have an alterior motive.  Should I follow him?	Do I look like a gutter rat?	Did you hear that Phino is going to propose to Phinoply?
#RecordIn	ATTACK	Ratman	15	0	"Ah, so that's it! The smell was you."	"Give me food, and I'll let you go!"	I don't eat garbage!	"You smell foul! Take a shower, please!"
#RecordIn	DAMAGED	Ratman	15	0	Ouch! That really hurts...	Stop! Stop! You're killing me!	Ouch...you're hurting me!	It's too early for you to have hurt me like this!
#RecordIn	DEAD	Ratman	15	0	No! I really didn't mean to...	I wish I could find a hole to hide in.	Will you revive me? Please?	"Be careful out there, the rats will be watching..."
#RecordIn	PIECE	RatmanFighter	2600000	4200000	I won't tolerate being interrupted!	Everyone is afraid of the Ratman!	Welcome to the Forest of Mist.	Lots of adventurers around recently... I wonder why?
#RecordIn	ATTACK	RatmanFighter	15	0	What? I don't think you're good enough to hunt here!	I'm special... I'm the BIG CHEESE!	"I am observant, and sensitive too."	I caught you!  Don't think you can run away so easily from me!
#RecordIn	DAMAGED	RatmanFighter	15	0	You're just a mouse!  How dare you!	Whoa! Not bad.	"At times like this I have to admit, it hurts."	Ah ha!  You are pretty strong!  This could be an exciting fight!
#RecordIn	DEAD	RatmanFighter	15	0	Can't stand it!	I didn't think you'd be this strong...	Don't let my enemies know I'm dead!	"From now on, you are my leader."
#RecordIn	PIECE	Boar	2800000	4400000	I heard that Elderrin City was near by...	There's a lot of delicious food there.	I should hurry  before the Ratman comes looking for me. 	Do I look like a bear? Sometimes even I get confused.
#RecordIn	ATTACK	Boar	15	0	Grrr... Grr...	How do you like my claw attack?	"If you think I am the same as Ratman, you are gravely mistaken!"	"Are you a human, or an elf?"
#RecordIn	DAMAGED	Boar	15	0	Grrr...not bad!	There's still a long way to go...	I can barely feel your attacks...	Ugh! You hit me where it hurts most!
#RecordIn	DEAD	Boar	15	0	I'm hungry...	If only I wasn't hungry...	I don't know why Ratman is on my mind... all we ever do is fight.	No!  I can't die like a simple pig...
#RecordIn	PIECE	SharpBoar	2800000	4400000	It's best not to mess with me when I'm hungry.	How dare you compare me to a boar!	My spider-like agility is my strength.	"We aren't related, but we are loyal nonetheless."
#RecordIn	ATTACK	SharpBoar	15	0	You're dead meat without your friends!	You've been spotted. Don't even try to hide...	Don't even think about slinking off!	"Ah hahaha... Once you're in my sights, you cannot escape!"
#RecordIn	DAMAGED	SharpBoar	15	0	Don't make me angry!	Oh! You are quite strong!	"Wow, you're pretty good!"	You're all looks... no real skill!
#RecordIn	DEAD	SharpBoar	15	0	I didn't think it would end this way.	-	This is the most shameful moment since our pledge of brotherhood!	I've been killed by a weakling!
#RecordIn	PIECE	Boogy	2800000	4400000	"I want to walk on soft sand, it's so wet here!"	"I hate to say it, but Boars are too brutal. "	My arch enemy is the sea otter. They like clams too.	"The ""The Tortoise and the Hare"" moral is the triumph of turtles!"
#RecordIn	ATTACK	Boogy	15	0	Launching body armor! Ha ha...just kidding!	"If you give me a clam, I'll let you go."	"If I defeat you, the clams are all mine."	"If you beat me, I'll let you enjoy everything life has to offer."
#RecordIn	DAMAGED	Boogy	15	0	"As you can see, I am pretty strong."	I think I should make a run for it.	"Wow--you're hellbent on this, aren't you?"	This is... I think is the Boogy license...
#RecordIn	DEAD	Boogy	15	0	Don't display me as a trophy somewhere!	My short legs are too slow...aaahhh....	"When you bury me, please bury me with some clams."	I hope someone will replace me at my post...
#RecordIn	PIECE	BoogyKnight	2800000	4400000	So you think I'm a Boogy? Think again!	"As you can see, I'm no ordinary monster."	My size alone makes people nervous.	Food in the sea comes just as I like it... well-salted!
#RecordIn	ATTACK	BoogyKnight	15	0	"I'm much stronger! Come here, I dare you..."	I believe in myself!	Hahaha...you're scared of me too... don't run away.	Strange!  My attacks seem to have no effect!
#RecordIn	DAMAGED	BoogyKnight	15	0	I thought my armor was the strongest... I guess not.	Man...you need more practice!	"You're not cheating, are you?"	Ugh! My body is falling apart!
#RecordIn	DEAD	BoogyKnight	15	0	I want to see the sea again.	I can't believe I was beaten by someone like you! Shameful!	I always wanted to die at sea!	I've been defeated... how sad!
#RecordIn	PIECE	MaraCrew	2800000	4800000	Let's see... you got anything shiny?	I'll be in big trouble if the instructor knows I missed training!	I'm good at handling a knife! I never miss my target.	"These shores, once conquered by us, have become the Sea of Greed."
#RecordIn	ATTACK	MaraCrew	10	0	Hand over all of your money.	Take that! And that! Hehe.	Watch and weep...ahh I'm so good with my knife.	You dare enter these shores of war?
#RecordIn	DAMAGED	MaraCrew	10	0	Oh no..!  	"Man, you're so strong! Can't take anything from you!"	Please forgive me...ouch!  It hurts!	You remind me of a mighty sailor I once fought.
#RecordIn	DEAD	MaraCrew	10	0	-	I'm only doing what Mara commands me to do..have mercy on me!	"Let me live, and I will show you the way to Mara."	But I just got here a week ago...
#RecordIn	HELPMAIN	MaraCrew	800	800	-	-	-	-
#RecordIn	HELPSUB	MaraCrew	800	800	"I've come to help you, sailor."	"You don't think much of us pirates, do you?"	Did you call me?	Hold on... coming! Whoa...
#RecordIn	RACERESCUE	MaraCrew	800	800	-	-	-	-
#RecordIn	PIECE	MiniPinky	3000000	5000000	La la la ♬~ I feel so good...	-	-	-
#RecordIn	ATTACK	MiniPinky	10	0	You thought I looked weak didn't you?	-	-	-
#RecordIn	DAMAGED	MiniPinky	10	0	-	-	-	-
#RecordIn	DEAD	MiniPinky	10	0	I'll hate you for this.	-	-	-
#RecordIn	PIECE	SpeedyBoogy	3000000	5000000	All right! Doing my best today!	"Today, I want to go to the sea.."	"Mara is the captain of the Mara Pirates, and boy is she scary!"	Should I ask for lessons from Captain Mara?
#RecordIn	ATTACK	SpeedyBoogy	10	0	"Did you see that? No? Hah, I'm just too fast for you!"	You're brave to challenge me to a duel!	"I'll defeat you, and end your lucky streak."	"I may be small, but I pack a mighty punch!"
#RecordIn	DAMAGED	SpeedyBoogy	10	0	Wow! You are good...very fast. 	Ugh!  You're quite skilled...	-	I'll spare your life in exchange for some giant clams.
#RecordIn	DEAD	SpeedyBoogy	10	0	Oh no! It looks like it's game over for me!	"I have to admit, you are stronger than me."	"Brothers, avenge my death!"	Ugh!  Please teach me...I'll be your pupil...
#RecordIn	PIECE	MaraElite	3000000	5000000	"If they find out I can't swim, I am in BIG trouble!"	"One, two, one...!  One, two, two...!...Nine!  Ten!..."	Give me all your money and I'll let you go!	I skipped training yesterday. I wonder if the instructor noticed.
#RecordIn	ATTACK	MaraElite	10	0	I have trained for this day. I'll show you!	"If you give me all of your money, I'll let you live."	You can't even handle me and think you're a match for Mara? Ha!	Hey! What are you doing here?
#RecordIn	DAMAGED	MaraElite	10	0	Ah ha! I can beat anyone!	Ouch... ouch! It hurts! Should I just flee?	I can't let you get away with that!	I've forgotten the defensive move I need to counter this...
#RecordIn	DEAD	MaraElite	10	0	-	"If I knew it would be this hard, I would have practiced more..."	"You...an apprentice, unbelievable."	Can we just pretend this fight didn't happen?
#RecordIn	HELPMAIN	MaraElite	800	800	"Please, no more, I can't take it..."	Hey everyone! To arms!	It's getting dangerous!  Let's show the true might of the Maras!	Hey you!  New kid!  Come here right now and help!
#RecordIn	HELPSUB	MaraElite	800	800	-	-	-	-
#RecordIn	RACERESCUE	MaraElite	800	800	-	-	-	-
#RecordIn	PIECE	MaraSailor	3000000	5000000	"Hey you, come here you pirate!"	Time to work out. I'll start with ten jumping jacks.	Let's ask Mara to hurry! I want to attack the village now!	"You're living large, aren't you...bold enough to skip practice!!"
#RecordIn	ATTACK	MaraSailor	10	0	You need to be taught a lesson.	How do you like the results of my training?	I can't let you live now you've seen our hideout!	I was in a foul mood...I can take it out of you!
#RecordIn	DAMAGED	MaraSailor	10	0	You have strange powers!	"Wow, you are better than I expected."	We need more help!  Gather the pirates!	I can easily deal with attacks like this...
#RecordIn	DEAD	MaraSailor	10	0	-	There are all those training classes I will miss...	I'm sorry Mara!	"Man, I'll have to learn from this battle..."
#RecordIn	HELPMAIN	MaraSailor	800	800	-	-	-	-
#RecordIn	HELPSUB	MaraSailor	800	800	Ha! How dare you challenge Captain Mara. I'll take care of this.	How dare you disturb Mara!  Do you want to die?	Fool! How dare you fight Mara?	Your wish is my command.
#RecordIn	RACERESCUE	MaraSailor	800	800	-	-	-	-
#RecordIn	PIECE	Mara	3200000	5200000	Hand over the money... it belongs to me now!	"I'm Mara, the fearsome pirate in control of the sea!"	"I'm restless, and haunted by old memories."	"If you can beat me with one blow, I'll grant you a title!"
#RecordIn	ATTACK	Mara	10	0	This is your unlucky day!	Don't think you'll walk out of here alive!	I wish my brother could see me now...	It's disappointing to have to waste my time with such a child.
#RecordIn	DAMAGED	Mara	10	0	Hmm...you are pretty good!	You're pretty good. Why don't you join us?	"I loathe you all...because of your crimes, my familly and I..."	Come on!  Give it your best shot!
#RecordIn	DEAD	Mara	10	0	Don't think this is the end.	You fight well...I will not go easy on you next time.	How can you do this to me?	Brother...
#RecordIn	HELPMAIN	Mara	800	800	"You are skilled...but we'll show you!  Hey guys, attack!!"	Ahahaha... You're no match for me.	To me Mara pirates! Unite!	Can anyone help me? 
#RecordIn	HELPSUB	Mara	800	800	-	-	-	-
#RecordIn	RACERESCUE	Mara	800	800	-	-	-	-
#RecordIn	PIECE	smartPhino	3200000	5200000	"Good thing we have gravity, otherwise we would be floating..."	Phino and Phinoply seem very close.  I want to meet someone too.	Cooperation is the key to survival in this tough world.	I'm not like other Phinos. I'm made of wood from ancient trees!
#RecordIn	ATTACK	smartPhino	30	0	You should mentally prepare yourself...I am a strong opponent.	-	Do you want to be my partner?	I'm much stronger than the others--don't be upset when you lose!
#RecordIn	DAMAGED	smartPhino	30	0	Is this all you have to show me?	It doesn't seem like you can defeat me.	Ahhh...you're turning me down.	You're worthy of taking on the great Phino!
#RecordIn	DEAD	smartPhino	30	0	You've proven you're stronger than I am.	What happened? We definitely had the advantage.	"On my tombstone it should say ""Smart Phino died alone""."	Results speak for themselves...
#RecordIn	PIECE	JokeKebing	3200000	5200000	"I'm so bored. Somebody please play with me, please!"	"Yesterday, I played with Kebing's hat.  It was so much fun."	I hear that funny people are very popular... is that true?	"You're won't hit someone as frail and pretty as myself, will you?"
#RecordIn	ATTACK	JokeKebing	10	0	Hey you!  Play with me!!	Is that a jewel on the ground?...Fooled you! Haha.	Don't you think I'm the funniest person in Fiesta?	I'm so upset!  I overheard someone saying I'm a spineless Kebing!
#RecordIn	DAMAGED	JokeKebing	10	0	Ouch!  It really hurts... 	Woah! You are not joking around.	"In battle, you don't need to be funny!"	"Hehehe...you're just joking with me, right?"
#RecordIn	DEAD	JokeKebing	10	0	Are you going to put me in a grave?	"Hey, this is no fun..."	"If it's my time to go, then it's my time to go..."	"Your jokes are awful, I'm not playing with you again."
#RecordIn	PIECE	Kebing	3200000	5200000	Just cuz you wish it....	"Purrrr, purrrrr."	Bzzz...Bzzz...Bzzz	We Kebings will defend the entrance to the Luminous Stone!
#RecordIn	ATTACK	Kebing	10	0	Zoom~ power!	Kebing attack!	Kebing's skill does not compare...	"Kebing kick!  Wait, I don't have legs."
#RecordIn	DAMAGED	Kebing	10	0	Look at me. How can you harm such beauty?	I don't think much of that!	Did you even hit me? I don't feel any pain.	Wow! You are the strongest foe I've met!
#RecordIn	DEAD	Kebing	10	0	Oh no!	I lost to a mere human.  I'm so ashamed.	"Please, someone give me air!"	I can't die now... I'm the hero of this story...
#RecordIn	PIECE	KebingSpeeder	3400000	5400000	Always keep your hopes and dreams with you.	"Objectively speaking, Kebings are very cute."	I'd like to go out with the other Kebings.	Just so that everyoneis clear. I'm the fastest of them all!
#RecordIn	ATTACK	KebingSpeeder	10	0	You're quite driven!  That's great!	"You could say, I am so cool. "	"Did you think that was the ""rolling pumpkin heads"" attack?"	"If you win this challenge, I will give you something special."
#RecordIn	DAMAGED	KebingSpeeder	10	0	A little more gusto!  A little more passion!	Aaaacckk!  You are too strong!	Don't get in the way!	"You are talented, but you don't stand a chance."
#RecordIn	DEAD	KebingSpeeder	10	0	Wow!  	You're cramping my style.	I guess I'll have time to play after I'm dead.	I'm just pretending to be dead!
#RecordIn	PIECE	LittleLizardMan	3200000	5200000	Should we head to the ocean to see some pirates?	-	-	-
#RecordIn	ATTACK	LittleLizardMan	10	0	-	-	-	-
#RecordIn	DAMAGED	LittleLizardMan	10	0	-	-	-	-
#RecordIn	DEAD	LittleLizardMan	10	0	That wasn't what I wanted.	-	-	-
#RecordIn	PIECE	ProckZone	3400000	5400000	-	-	-	-
#RecordIn	ATTACK	ProckZone	10	0	-	-	-	-
#RecordIn	DAMAGED	ProckZone	10	0	-	-	-	-
#RecordIn	DEAD	ProckZone	10	0	-	-	-	-
#RecordIn	PIECE	TombRaider	3400000	5400000	I have this strange urge to dig a hole.	"Me too, me too, me too!!"	"Ok, let's get started."	I heard there are glowing weapons. Those must be worth a lot!
#RecordIn	ATTACK	TombRaider	10	0	Don't interfere with my work!	What do you think about my shovel skills?	Taste the edge of my super shovel!	I've been digging for 20 years. No one is better than me!
#RecordIn	DAMAGED	TombRaider	10	0	"Come on... don't be mad, talk to me."	Please let me go. How much do you want? How much?	"I'll give you all the treasures I have--please, just let me go!!"	You can't beat me with glancing blows like that.
#RecordIn	DEAD	TombRaider	10	0	I left too many graves untouched!!	Can't believe it...to end like this...	-	Just as I'd learned something interesting about this place...
#RecordIn	PIECE	MageBook	3400000	5400000	"Page one is about the origins of the Fire Ball, its structure..."	Magic can't be learned by anyone. You have to be smart--like me!	It's a misconception to think sorcerers are weak.	I envy the elves. They are always learning new magic.
