;-------------------------------- DEFINE SCRIPTOR COMMAND ---------------------------------
SKILL		19,		29499,		;	BallHive01
SKILL		20,		29499,		;	BallHive01
SKILL		21,		29499,		;	BallHive01
SKILL		22,		29499,		;	BallHive01
SKILL		23,		29499,		;	BallHive01
SKILL		24,		29499,		;	BallHive01
SKILL		25,		29499,		;	BallHive01
SKILL		26,		29499,		;	BallHive01
SKILL		27,		29499,		;	BallHive01

SKILL		1,		29500,		;	TeleportCharm01
SKILL		2,		29500,		;	TeleportCharm01
SKILL		3,		29500,		;	TeleportCharm01
SKILL		4,		29500,		;	TeleportCharm01
SKILL		5,		29500,		;	TeleportCharm01
SKILL		6,		29500,		;	TeleportCharm01
SKILL		7,		29500,		;	TeleportCharm01
SKILL		8,		29500,		;	TeleportCharm01
SKILL		9,		29500,		;	TeleportCharm01
SKILL		10,		29500,		;	TeleportCharm01
SKILL		11,		29500,		;	TeleportCharm01
SKILL		12,		29500,		;	TeleportCharm01
SKILL		13,		29500,		;	TeleportCharm01
SKILL		14,		29500,		;	TeleportCharm01
SKILL		15,		29500,		;	TeleportCharm01
SKILL		16,		29500,		;	TeleportCharm01
SKILL		17,		29500,		;	TeleportCharm01
SKILL		18,		29500,		;	TeleportCharm01
SKILL		19,		29500,		;	TeleportCharm01
SKILL		20,		29500,		;	TeleportCharm01
SKILL		21,		29500,		;	TeleportCharm01
SKILL		22,		29500,		;	TeleportCharm01
SKILL		23,		29500,		;	TeleportCharm01
SKILL		24,		29500,		;	TeleportCharm01
SKILL		25,		29500,		;	TeleportCharm01
SKILL		26,		29500,		;	TeleportCharm01
SKILL		27,		29500,		;	TeleportCharm01

SKILL		1,		29613,		;	BallSnow02
SKILL		2,		29613,		;	BallSnow02
SKILL		3,		29613,		;	BallSnow02
SKILL		4,		29613,		;	BallSnow02
SKILL		5,		29613,		;	BallSnow02
SKILL		6,		29613,		;	BallSnow02
SKILL		7,		29613,		;	BallSnow02
SKILL		8,		29613,		;	BallSnow02
SKILL		9,		29613,		;	BallSnow02
SKILL		10,		29613,		;	BallSnow02
SKILL		11,		29613,		;	BallSnow02
SKILL		12,		29613,		;	BallSnow02
SKILL		13,		29613,		;	BallSnow02
SKILL		14,		29613,		;	BallSnow02
SKILL		15,		29613,		;	BallSnow02
SKILL		16,		29613,		;	BallSnow02
SKILL		17,		29613,		;	BallSnow02
SKILL		18,		29613,		;	BallSnow02
SKILL		19,		29613,		;	BallSnow02
SKILL		20,		29613,		;	BallSnow02
SKILL		21,		29613,		;	BallSnow02
SKILL		22,		29613,		;	BallSnow02
SKILL		23,		29613,		;	BallSnow02
SKILL		24,		29613,		;	BallSnow02
SKILL		25,		29613,		;	BallSnow02
SKILL		26,		29613,		;	BallSnow02
SKILL		27,		29613,		;	BallSnow02

SKILL		1,		29614,		;	BallCrush02
SKILL		2,		29614,		;	BallCrush02
SKILL		3,		29614,		;	BallCrush02
SKILL		4,		29614,		;	BallCrush02
SKILL		5,		29614,		;	BallCrush02
SKILL		6,		29614,		;	BallCrush02
SKILL		7,		29614,		;	BallCrush02
SKILL		8,		29614,		;	BallCrush02
SKILL		9,		29614,		;	BallCrush02
SKILL		10,		29614,		;	BallCrush02
SKILL		11,		29614,		;	BallCrush02
SKILL		12,		29614,		;	BallCrush02
SKILL		13,		29614,		;	BallCrush02
SKILL		14,		29614,		;	BallCrush02
SKILL		15,		29614,		;	BallCrush02
SKILL		16,		29614,		;	BallCrush02
SKILL		17,		29614,		;	BallCrush02
SKILL		18,		29614,		;	BallCrush02
SKILL		19,		29614,		;	BallCrush02
SKILL		20,		29614,		;	BallCrush02
SKILL		21,		29614,		;	BallCrush02
SKILL		22,		29614,		;	BallCrush02
SKILL		23,		29614,		;	BallCrush02
SKILL		24,		29614,		;	BallCrush02
SKILL		25,		29614,		;	BallCrush02
SKILL		26,		29614,		;	BallCrush02
SKILL		27,		29614,		;	BallCrush02

SKILL		1,		29644,		;	Throw a Water Balloon
SKILL		2,		29644,		;	Throw a Water Balloon
SKILL		3,		29644,		;	Throw a Water Balloon
SKILL		4,		29644,		;	Throw a Water Balloon
SKILL		5,		29644,		;	Throw a Water Balloon
SKILL		6,		29644,		;	Throw a Water Balloon
SKILL		7,		29644,		;	Throw a Water Balloon
SKILL		8,		29644,		;	Throw a Water Balloon
SKILL		9,		29644,		;	Throw a Water Balloon
SKILL		10,		29644,		;	Throw a Water Balloon
SKILL		11,		29644,		;	Throw a Water Balloon
SKILL		12,		29644,		;	Throw a Water Balloon
SKILL		13,		29644,		;	Throw a Water Balloon
SKILL		14,		29644,		;	Throw a Water Balloon
SKILL		15,		29644,		;	Throw a Water Balloon
SKILL		16,		29644,		;	Throw a Water Balloon
SKILL		17,		29644,		;	Throw a Water Balloon
SKILL		18,		29644,		;	Throw a Water Balloon
SKILL		19,		29644,		;	Throw a Water Balloon
SKILL		20,		29644,		;	Throw a Water Balloon
SKILL		21,		29644,		;	Throw a Water Balloon
SKILL		22,		29644,		;	Throw a Water Balloon
SKILL		23,		29644,		;	Throw a Water Balloon
SKILL		24,		29644,		;	Throw a Water Balloon
SKILL		25,		29644,		;	Throw a Water Balloon
SKILL		26,		29644,		;	Throw a Water Balloon
SKILL		27,		29644,		;	Throw a Water Balloon

SKILL		1,		29645,		;	Water Cannon
SKILL		2,		29645,		;	Water Cannon
SKILL		3,		29645,		;	Water Cannon
SKILL		4,		29645,		;	Water Cannon
SKILL		5,		29645,		;	Water Cannon
SKILL		6,		29645,		;	Water Cannon
SKILL		7,		29645,		;	Water Cannon
SKILL		8,		29645,		;	Water Cannon
SKILL		9,		29645,		;	Water Cannon
SKILL		10,		29645,		;	Water Cannon
SKILL		11,		29645,		;	Water Cannon
SKILL		12,		29645,		;	Water Cannon
SKILL		13,		29645,		;	Water Cannon
SKILL		14,		29645,		;	Water Cannon
SKILL		15,		29645,		;	Water Cannon
SKILL		16,		29645,		;	Water Cannon
SKILL		17,		29645,		;	Water Cannon
SKILL		18,		29645,		;	Water Cannon
SKILL		19,		29645,		;	Water Cannon
SKILL		20,		29645,		;	Water Cannon
SKILL		21,		29645,		;	Water Cannon
SKILL		22,		29645,		;	Water Cannon
SKILL		23,		29645,		;	Water Cannon
SKILL		24,		29645,		;	Water Cannon
SKILL		25,		29645,		;	Water Cannon
SKILL		26,		29645,		;	Water Cannon
SKILL		27,		29645,		;	Water Cannon

SKILL		1,		29209,		;	WorldLink_N
SKILL		2,		29209,		;	WorldLink_N
SKILL		3,		29209,		;	WorldLink_N
SKILL		4,		29209,		;	WorldLink_N
SKILL		5,		29209,		;	WorldLink_N
SKILL		6,		29209,		;	WorldLink_N
SKILL		7,		29209,		;	WorldLink_N
SKILL		8,		29209,		;	WorldLink_N
SKILL		9,		29209,		;	WorldLink_N
SKILL		10,		29209,		;	WorldLink_N
SKILL		11,		29209,		;	WorldLink_N
SKILL		12,		29209,		;	WorldLink_N
SKILL		13,		29209,		;	WorldLink_N
SKILL		14,		29209,		;	WorldLink_N
SKILL		15,		29209,		;	WorldLink_N
SKILL		16,		29209,		;	WorldLink_N
SKILL		17,		29209,		;	WorldLink_N
SKILL		18,		29209,		;	WorldLink_N
SKILL		19,		29209,		;	WorldLink_N
SKILL		20,		29209,		;	WorldLink_N
SKILL		21,		29209,		;	WorldLink_N
SKILL		22,		29209,		;	WorldLink_N
SKILL		23,		29209,		;	WorldLink_N
SKILL		24,		29209,		;	WorldLink_N
SKILL		25,		29209,		;	WorldLink_N
SKILL		26,		29209,		;	WorldLink_N
SKILL		27,		29209,		;	WorldLink_N

SKILL		1,		29745,		;	Cake mob summon
SKILL		2,		29745,		;	Cake mob summon
SKILL		3,		29745,		;	Cake mob summon
SKILL		4,		29745,		;	Cake mob summon
SKILL		5,		29745,		;	Cake mob summon
SKILL		6,		29745,		;	Cake mob summon
SKILL		7,		29745,		;	Cake mob summon
SKILL		8,		29745,		;	Cake mob summon
SKILL		9,		29745,		;	Cake mob summon
SKILL		10,		29745,		;	Cake mob summon
SKILL		11,		29745,		;	Cake mob summon
SKILL		12,		29745,		;	Cake mob summon
SKILL		13,		29745,		;	Cake mob summon
SKILL		14,		29745,		;	Cake mob summon
SKILL		15,		29745,		;	Cake mob summon
SKILL		16,		29745,		;	Cake mob summon
SKILL		17,		29745,		;	Cake mob summon
SKILL		18,		29745,		;	Cake mob summon
SKILL		19,		29745,		;	Cake mob summon
SKILL		20,		29745,		;	Cake mob summon
SKILL		21,		29745,		;	Cake mob summon
SKILL		22,		29745,		;	Cake mob summon
SKILL		23,		29745,		;	Cake mob summon
SKILL		24,		29745,		;	Cake mob summon
SKILL		25,		29745,		;	Cake mob summon
SKILL		26,		29745,		;	Cake mob summon
SKILL		27,		29745,		;	Cake mob summon

SKILL		1,		29746,		;	Soda cannon summon
SKILL		2,		29746,		;	Soda cannon summon
SKILL		3,		29746,		;	Soda cannon summon
SKILL		4,		29746,		;	Soda cannon summon
SKILL		5,		29746,		;	Soda cannon summon
SKILL		6,		29746,		;	Soda cannon summon
SKILL		7,		29746,		;	Soda cannon summon
SKILL		8,		29746,		;	Soda cannon summon
SKILL		9,		29746,		;	Soda cannon summon
SKILL		10,		29746,		;	Soda cannon summon
SKILL		11,		29746,		;	Soda cannon summon
SKILL		12,		29746,		;	Soda cannon summon
SKILL		13,		29746,		;	Soda cannon summon
SKILL		14,		29746,		;	Soda cannon summon
SKILL		15,		29746,		;	Soda cannon summon
SKILL		16,		29746,		;	Soda cannon summon
SKILL		17,		29746,		;	Soda cannon summon
SKILL		18,		29746,		;	Soda cannon summon
SKILL		19,		29746,		;	Soda cannon summon
SKILL		20,		29746,		;	Soda cannon summon
SKILL		21,		29746,		;	Soda cannon summon
SKILL		22,		29746,		;	Soda cannon summon
SKILL		23,		29746,		;	Soda cannon summon
SKILL		24,		29746,		;	Soda cannon summon
SKILL		25,		29746,		;	Soda cannon summon
SKILL		26,		29746,		;	Soda cannon summon
SKILL		27,		29746,		;	Soda cannon summon

;-----------------------------------------------------------------------------------
;			Class	Quest ID	;	Comment
;QUEST		1,		0			;
;QUEST		6,		0			;
;QUEST		11,		0			;
;QUEST		26,		0			;
;QUEST		21,		0			;

;-----------------------------------------------------------------------------------
;			Class	MaxFace,	MaxHair,	MaxHairColor	;	Comment
MAXSHAPE	1,		3,			3,			3				;	Fighter
MAXSHAPE	6,		3,			3,			3				;	Cleric
MAXSHAPE	11,		3,			3,			3				;	Archer
MAXSHAPE	16,		3,			3,			3				;	Mage
MAXSHAPE	21,		3,			3,			3				;	Joker
MAXSHAPE	26,		3,			3,			3				;	Sentinel
;-----------------------------------------------------------------------------------
; 			Class	nSlotNo,	nCodeNo,	nValue			;	Comment
SHORTCUT	1,		0,			4,			0				;	Fighter
SHORTCUT	1,		1,			4,			1				;	Fighter
SHORTCUT	1,		10,			1,			3500			;	Fighter
SHORTCUT	1,		11,			1,			3505			;	Fighter

SHORTCUT	6,		0,			4,			0				;	Cleric
SHORTCUT	6,		1,			4,			1				;	Cleric
SHORTCUT	6,		10,			1,			3500			;	Cleric
SHORTCUT	6,		11,			1,			3505			;	Cleric

SHORTCUT	11,		0,			4,			0				;	Archer
SHORTCUT	11,		1,			4,			1				;	Archer
SHORTCUT	11,		10,			1,			3500			;	Archer
SHORTCUT	11,		11,			1,			3505			;	Archer

SHORTCUT	16,		0,			4,			0				;	Mage
SHORTCUT	16,		1,			4,			1				;	Mage
SHORTCUT	16,		2,			3,			6000			;	Mage
SHORTCUT	16,		10,			1,			3500			;	Mage
SHORTCUT	16,		11,			1,			3505			;	Mage

SHORTCUT	21,		0,			4,			0				;	Joker
SHORTCUT	21,		1,			4,			1				;	Joker
SHORTCUT	21,		10,			1,			3500			;	Joker
SHORTCUT	21,		11,			1,			3505			;	Joker

SHORTCUT	26,		0,			4,			0				;	Sentinel
SHORTCUT	26,		1,			4,			1				;	Sentinel
SHORTCUT	26,		10,			1,			3500			;	Sentinel
SHORTCUT	26,		11,			1,			3505			;	Sentinel
#END
