;		ItemList in NPC					
#ignore	\o042			; 인용부호 무시			
#Record	20	Recipe_BestLowCurScroll	Recipe_LowCurScroll	-	-	-	-
							
#Table	Tab11	;센티넬 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	HeroStrike13	HeroStrike14	-	-	-	-
#Record	1	Advent13	Advent14	-	-	-	-
#Record	2	LightStrike11	LightStrike12	-	-	-	-
#Record	3	FinalLight07	FinalLight08	-	-	-	-
#Record	4	LightWind05	LightWind06	-	-	-	-
#Record	5	LightBlast13	LightBlast14	-	-	-	-
#Record	6	LightExplosion07	LightExplosion08	-	-	-	-
#Record	7	LightOrb05	LightOrb06	-	-	-	-
#Record	8	ImpactLight05	ImpactLight06	-	-	-	-
#Record	9	LightBurst02	LightBurst03	-	-	-	-
#Record	10	Recoup13	Recoup14	-	-	-	-
#Record	11	LightTouch11	LightTouch12	-	-	-	-
#Record	12	Treat07	Treat08	-	-	-	-
#Record	13	LightMark05	LightMark06	-	-	-	-
#Record	14	LightField05	LightField06	-	-	-	-
							
#Table	Tab12	;센티넬 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	WCMastery13	-	-	-	-	-
#Record	1	MAMastery13	-	-	-	-	-
#Record	2	LightMastery05	-	-	-	-	-
							
#End							
