;		ItemList in NPC												
#ignore	\o042			; 인용부호 무시										
#exchange	#	\x20		; # => space										
#Record	16	Arena_M100Pants01	Arena_M100Pants02	Arena_M110Pants01	Arena_M110Pants02	Arena_M115Pants01	Arena_M115Pants02							
#Record	17	Arena_M100Boots01	Arena_M100Boots02	Arena_M110Boots01	Arena_M110Boots02	Arena_M115Boots01	Arena_M115Boots02							
#Record	18	-	-	-	-	-	-							
#Record	19	Arena_J100Hood01	Arena_J100Hood02	Arena_J110Hood01	Arena_J110Hood02	Arena_J115Hood01	Arena_J115Hood02							
#Record	20	Arena_J100Armor01	Arena_J100Armor02	Arena_J110Armor01	Arena_J110Armor02	Arena_J115Armor01	Arena_J115Armor02							
#Record	21	Arena_J100Pants01	Arena_J100Pants02	Arena_J110Pants01	Arena_J110Pants02	Arena_J115Pants01	Arena_J115Pants02							
#Record	22	Arena_J100Boots01	Arena_J100Boots02	Arena_J110Boots01	Arena_J110Boots02	Arena_J115Boots01	Arena_J115Boots02							
#Record	23	-	-	-	-	-	-							
#Record	24	Arena_S100Helmet01	Arena_S110Helmet01	Arena_S115Helmet01	-	-	-							
#Record	25	Arena_S100Armor01	Arena_S110Armor01	Arena_S115Armor01	-	-	-							
#Record	26	Arena_S100Pants01	Arena_S110Pants01	Arena_S115Pants01	-	-	-							
#Record	27	Arena_S100Shoes01	Arena_S110Shoes01	Arena_S115Shoes01	-	-	-							
														
#Table	Tab02	;액세서리												
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]							
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05							
#Record	0	Arena_100Neck01	Arena_110Neck01	Arena_115Neck01	-	-	-							
#Record	1	Arena_100Ear01	Arena_110Ear01	Arena_115Ear01	-	-	-							
#Record	2	Arena_100Ring01	Arena_110Ring01	Arena_115Ring01	-	-	-							
#Record	3	Arena_100Ring02	Arena_110Ring02	Arena_115Ring02	-	-	-							
														
#End														
