;	Shine NPC table(ShineNPC.txt)		
#Record	SalareMan03_S04H	"Loussier, was it?..  Please go after Eglack...  Please save him..."	
#Record	Loussier03_S08H	"OK, Salare.  I will save Eglack, too. "	
#Record	SalareMan03_S05H	OK.... Good...  You should go...  Don't be late.	
#Record	Loussier03_S09H	" .. .. We have to go.  You should rest here, Salare.  Marlene will be here soon. "	
#Record	Eglack04_01H	Isn't it possible to defeat them before Salare got stronger with the power of darkness?	
#Record	Eglack04_02H	"Too late. Once you arrive in Adelia, you will see hell. Hahahaha."	
#Record	Eglack05_S01H	Can you see? This Adelia lost its power and is becoming grey everywhere! Covered by darkness!	
#Record	Loussier05_S01H	Oh no! I cannot feel any power from the Adelia tree.	
#Record	Eglack05_S02H	Come here! I will kill you and bury with Adelia!	
#Record	EglackMan05_S01H	"Oh, where am I?  Why am I here...  Who are you?"	
#Record	Loussier05_S02H	"Eglack, are you OK?  I am Loussier and these people helped me. "	
#Record	Loussier05_S03H	You were enticed by Karen's magic and tried to destroy Adealia. 	
#Record	Loussier05_S04H	But the village was under protection...  He's destroyed now. 	
#Record	EglackMan05_S02H	"Oh!  I have destroyed the village... with my own hands...  Loussier, I have a request. "	
#Record	Loussier05_S05H	What?  Oh...  OK.  If it is anything I can do...	
#Record	EglackMan05_S03H	I can't return to the village like this.	
#Record	EglackMan05_S04H	Everyone will...  Even if it wasn't my real self...	
#Record	EglackMan05_S05H	I want to leave.  Can you keep the secret for me? 	
#Record	Loussier05_S06H	What?!  Oh.. well... OK.  If that's what you want...	
#Record	EglackMan05_S06H	"Thank you, Loussier. "	
#Record	EglackMan05_S07H	"Well, so long...."	
#Record	Loussier05_S07H	I won't forget what you've done for me...	
#Record	Eglack05_F01H	Can you see? This Adelia lost its power and is becoming grey everywhere! Covered by darkness!	
#Record	Eglack05_F02H	Come here! I will kill you and bury with Adelia!	
#Record	Eglack05_F03H	Wait! It is not over yet. Karen! Where is Karen?	
#Record	Karen05_F01H	"I am here, Eglack. Did you lose again? Ugh! You are so pathetic."	
#Record	Eglack05_F04AH	Quite! Power! Give me that strong power one more time!	
#Record	Karen05_F02H	Alright. But you should make me happy and don't disappointed like last time.	
#Record	Eglack05_F04BH	"If you give me strong power to wipe them, I will be glad to be your pet anytime!"	
#Record	Karen05_F03H	"I would love to. Alright, I will give you stronger powers than before. Make me happy this time Eglack. "	
#Record	Eglack05_F05H	Arrrrgh!!!	
#Record	EglackMad05_F01H	Hahahaha!! I can feel the power. Much stronger power! I cannot this compare with the last one!!	
#Record	EglackMad05_F02H	Never! I can never be gone like this! Again! Give me the power again! Ow!	
#Record	Karen05_F04H	"Everything is over. You were just nothing… Leave this place Eglack! Let's meet together again, all adventurers!!"	
#Record	Loussier_Dead	I can't believe it...  I can't hold on.  I am sorry....	
#Record	Marlene_Dead	This is it for me..  I am sorry I can't help you more...  Please take care of the rest...	
#Record	KQReturn30	"After 30sec, move to Adelia"	
#Record	KQReturn20	"After 20sec, move to Adelia"	
#Record	KQReturn10	"After 10sec, move to Adelia"	
#Record	KQReturn5	"After 5sec, move to Adelia"	
			
#End			
