;	Shine NPC table(ShineNPC.txt)		
#Record	SalareMan03_S05	OK.... Good...  You should go...  Don't be late.	
#Record	Loussier03_S09	" .. .. We have to go.  You should rest here, Salare.  Marlene will be here soon. "	
#Record	Loussier03_S03N	Salare! Please stop. Please come back as a human and prevent Karen from conspiring against us!	
#Record	Salare03_S04N	"How dare you! I step back this time. But, I will have my revenge!"	
#Record	Loussier03_S05N	He is gone.. I will save you again next time.	
#Record	Eglack04_01	"Salare, how could you be defeated by such worthless junks...  You are so weak! "	
#Record	Eglack04_01N	"Salare, how stupid are you!? You have been defeated by them...  You are so pathetic!"	
#Record	Eglack04_02	Ha ha ha...  I am already in Adealia Village.  My dream will come true. 	
#Record	Eglack05_S01	What?  It's too late.  Arrg...  The village is already burning. 	
#Record	Loussier05_S01	Oh!  The village...  The village... 	
#Record	Eglack05_S02	"Now that you are here, I will take you myself.  Come to the world of death."	
#Record	EglackMan05_S01	"Oh, where am I?  Why am I here...  Who are you?"	
#Record	Loussier05_S02	"Eglack, are you OK?  I am Loussier and these people helped me. "	
#Record	Loussier05_S03	You were enticed by Karen's magic and tried to destroy Adealia. 	
#Record	Loussier05_S04	But the village was under protection...  He's destroyed now. 	
#Record	EglackMan05_S02	"Oh!  I have destroyed the village... with my own hands...  Loussier, I have a request. "	
#Record	Loussier05_S05	What?  Oh...  OK.  If it is anything I can do...	
#Record	EglackMan05_S03	I can't return to the village like this.	
#Record	EglackMan05_S04	Everyone will...  Even if it wasn't my real self...	
#Record	EglackMan05_S05	I want to leave.  Can you keep the secret for me? 	
#Record	Loussier05_S06	What?!  Oh.. well... OK.  If that's what you want...	
#Record	EglackMan05_S06	"Thank you, Loussier. "	
#Record	EglackMan05_S07	"Well, so long...."	
#Record	Loussier05_S07	I won't forget what you've done for me...	
#Record	Eglack05_S01N	Ugh! I cannot fight because of the weird aura from that girl!	
#Record	Eglack05_S02N	"I am so furious, but I am leaving for now. However, next time I will burn all of Adealia down with you!"	
#Record	Loussier05_S02N	I have to wait for the next chance... Thank you for helping me.	
#Record	Eglack05_F01	What?  It's too late.  Arrg...  The village is already burning. 	
#Record	Eglack05_F02	"Now that you are here, I will take you myself.  Come to the world of death."	
#Record	Eglack05_F03	Huh.  Oh... You....  How could I be defeated by those junks...  I need... more power...	
#Record	Karen05_F01	"Ha ha ha...  Eglack, do you need more power? "	
#Record	Eglack05_F04	"Yes, I need greater power!"	
#Record	Karen05_F02	"Wait, I will make you stronger...  Get rid of them."	
#Record	Eglack05_F04	... Yes...  Give me greater power... 	
#Record	Karen05_F03	Don't be hasty.  I will revive you. 	
#Record	Eglack05_F05	Arrrrgh!!!	
#Record	EglackMad05_F01	"Oh, ha... Arrgh.  Arrrgh.  Ha ha ha.  I am full of power!  Now, let's do it again, shall we? "	
#Record	EglackMad05_F02	I can't believe it.  How..  How..!  Arrrgh. 	
#Record	EglackMad05_F02N	"I am so furious, but I am leaving for now. However, next time I will burn all of Adealia down with you!"	
#Record	Karen05_F04	I must have underestimated you.  It won't be so easy next time.... 	
#Record	Loussier_Dead	I can't believe it...  I can't hold on.  I am sorry....	
#Record	Marlene_Dead	This is it for me..  I am sorry I can't help you more...  Please take care of the rest...	
#Record	KQReturn30	"After 30sec, move to Adelia"	
#Record	KQReturn20	"After 20sec, move to Adelia"	
#Record	KQReturn10	"After 10sec, move to Adelia"	
#Record	KQReturn5	"After 5sec, move to Adelia"	
			
#End			
